MAKE,MODEL,PROFIT_LOSS,SALES_STATUS
Mercedes-Benz,G-Class,-87750,Loss
Mercedes-Benz,M-Class,-50500,Loss
Chevrolet,Tahoe,-44200,Loss
Chevrolet,Corvette Stingray,-41900,Loss
BMW,M5,-41000,Loss
Chevrolet,Corvette Stingray,-38100,Loss
Mercedes-Benz,SL-Class,-37900,Loss
Land Rover,Range Rover,-37000,Loss
Jaguar,XJ,-37000,Loss
GMC,Yukon,-36500,Loss
Lexus,LX 570,-33800,Loss
Ford,Fusion,-33600,Loss
,,-33500,Loss
,,-33250,Loss
Ford,F-250 Super Duty,-32400,Loss
Mercedes-Benz,E-Class,-32000,Loss
Bentley,Continental GT,-31500,Loss
Chrysler,300,-31200,Loss
Mercedes-Benz,E-Class,-29600,Loss
GMC,Yukon,-29300,Loss
Chevrolet,Silverado 1500,-28950,Loss
Ram,1500,-28900,Loss
BMW,5 Series,-28600,Loss
Chevrolet,Suburban,-28200,Loss
GMC,Sierra 1500,-28000,Loss
Chevrolet,Malibu,-27900,Loss
Chevrolet,Tahoe,-27800,Loss
BMW,5 Series Gran Turismo,-27700,Loss
Land Rover,Range Rover,-27500,Loss
Nissan,Armada,-27300,Loss
Ford,Fusion,-27200,Loss
BMW,X6,-27150,Loss
,,-27000,Loss
Ford,F-150,-27000,Loss
Ford,F-150,-26600,Loss
Ford,F-150,-26600,Loss
Dodge,Ram Pickup 3500,-26500,Loss
Ford,Expedition,-26300,Loss
Ford,F-150,-26000,Loss
Ford,F-150,-26000,Loss
Chevrolet,Tahoe,-25700,Loss
Chevrolet,Uplander,-25600,Loss
Ford,F-350 Super Duty,-25500,Loss
Lincoln,MKX,-25500,Loss
Ford,Fusion,-25400,Loss
Dodge,Challenger,-25200,Loss
,,-25100,Loss
Bentley,Continental GTC,-25000,Loss
Ford,F-150,-25000,Loss
Honda,Pilot,-25000,Loss
Toyota,Highlander,-24500,Loss
Hyundai,Genesis,-24500,Loss
Mercedes-Benz,GL-Class,-24400,Loss
Ford,F-350 Super Duty,-24400,Loss
Ford,Explorer,-24200,Loss
Dodge,Ram Pickup 2500,-24100,Loss
Chevrolet,Corvette Stingray,-24050,Loss
Mercedes-Benz,S-Class,-24000,Loss
Bentley,Continental GTC,-24000,Loss
Ford,Escape,-23850,Loss
,,-23850,Loss
BMW,M6,-23500,Loss
Mercedes-Benz,S-Class,-23300,Loss
Chevrolet,Silverado 1500,-23200,Loss
Nissan,370Z,-23200,Loss
Ford,F-150,-23200,Loss
Ford,F-150,-23000,Loss
Buick,Enclave,-22900,Loss
Dodge,Charger,-22800,Loss
Mercedes-Benz,CLK-Class,-22700,Loss
Kia,Cadenza,-22700,Loss
Nissan,Frontier,-22600,Loss
Ford,Escape,-22600,Loss
Chevrolet,Suburban,-22500,Loss
