MONTH_YEAR,AVERAGE_SELLING_PRICE_TRENDS,STATE
Jan 2014,10630.188679,sc
Jan 2014,13589.473684,pa
Jan 2014,4855.000000,nc
Jan 2014,22020.000000,ny
Jan 2014,19287.500000,oh
Jan 2014,18467.857143,fl
Jan 2014,20170.000000,ga
Jan 2014,13833.333333,mo
Jan 2014,18029.166667,ca
Jan 2014,19666.666667,co
Jan 2014,17133.333333,tx
Jan 2014,17271.428571,tn
Jan 2014,11466.666667,mi
Jan 2014,23325.000000,il
Jan 2014,8500.000000,pr
Jan 2014,14700.000000,la
Jan 2014,450.000000,nv
Feb 2014,10500.000000,fl
Dec 2014,12805.585623,ca
Dec 2014,11227.256995,tx
Dec 2014,10636.212810,fl
Dec 2014,15685.947810,tn
Dec 2014,8337.883991,la
Dec 2014,9839.478824,wi
Dec 2014,10173.697881,nj
Dec 2014,6285.404275,ny
Dec 2014,15196.365368,pa
Dec 2014,7560.995009,va
Dec 2014,9096.680945,ne
Dec 2014,12587.595259,mo
Dec 2014,8597.401010,mn
Dec 2014,14488.022646,co
Dec 2014,9314.610157,az
Dec 2014,8141.320000,ut
Dec 2014,11211.356187,wa
Dec 2014,9086.681818,in
Dec 2014,10169.158879,hi
Dec 2014,8265.523466,pr
Dec 2014,10494.895876,ga
Dec 2014,11706.485284,mi
Dec 2014,14795.955577,oh
Dec 2014,9440.552326,sc
Dec 2014,9150.000000,ms
Dec 2014,9003.046531,il
Dec 2014,3560.869565,ok
Dec 2014,13235.453044,nv
Dec 2014,8414.285714,ab
Dec 2014,8105.657828,nc
Dec 2014,4892.789598,ma
Dec 2014,6595.439739,on
Dec 2014,6732.712156,md
Dec 2014,10138.679245,qc
Dec 2014,12116.406250,or
Jan 2015,10148.696867,sc
Jan 2015,15425.789790,pa
Jan 2015,13137.473577,fl
Jan 2015,8690.952562,nc
Jan 2015,12793.502546,tx
Jan 2015,13933.286257,mo
Jan 2015,14794.327121,oh
Jan 2015,12681.229773,qc
Jan 2015,6937.519586,md
Jan 2015,6152.413184,ma
Jan 2015,12164.165935,ga
Jan 2015,12433.078825,ny
Jan 2015,17258.223121,tn
Jan 2015,18586.659980,on
Jan 2015,13878.258346,nj
Jan 2015,10783.621554,az
Jan 2015,10270.000000,or
Jan 2015,14348.915149,ca
Jan 2015,18416.722222,co
Jan 2015,14787.834223,il
Jan 2015,13232.135242,wa
Jan 2015,13577.855116,mn
Jan 2015,10313.217480,la
Jan 2015,11974.031891,hi
Jan 2015,14225.907343,wi
Jan 2015,9120.274797,va
Jan 2015,10981.809701,ut
Jan 2015,9651.192541,in
Jan 2015,15248.249114,nv
Jan 2015,9491.893733,pr
Jan 2015,14453.924102,mi
Jan 2015,12030.870332,ne
Jan 2015,11810.937500,ab
Jan 2015,825.000000,ms
Jan 2015,1266.666667,nm
Feb 2015,8475.584888,nc
Feb 2015,13973.485403,fl
Feb 2015,14133.555807,mo
Feb 2015,15219.118608,pa
Feb 2015,17091.702833,tn
Feb 2015,13346.007754,ga
Feb 2015,13929.064757,oh
Feb 2015,7300.581756,md
Feb 2015,6680.626192,ma
Feb 2015,11320.241821,ny
Feb 2015,15261.218837,qc
Feb 2015,18277.155172,on
Feb 2015,15204.649244,il
Feb 2015,13682.713876,tx
Feb 2015,11507.433511,az
Feb 2015,16146.219199,co
Feb 2015,9747.500000,al
Feb 2015,11704.881266,or
Feb 2015,14259.333633,ca
Feb 2015,13758.264987,wa
Feb 2015,12620.339652,ut
Feb 2015,10837.809403,la
Feb 2015,14147.886671,wi
Feb 2015,7857.238353,va
Feb 2015,13864.483671,nj
Feb 2015,14206.751374,mn
Feb 2015,10463.105004,in
Feb 2015,15259.036817,nv
Feb 2015,9923.713927,pr
Feb 2015,14377.667308,mi
Feb 2015,9625.544995,sc
Feb 2015,13181.190000,ne
Feb 2015,11927.090301,ab
Feb 2015,12771.096346,hi
Feb 2015,7493.478261,ok
Feb 2015,400.000000,nm
Mar 2015,9528.198779,nc
Mar 2015,15137.096297,fl
Mar 2015,15435.025504,mo
Mar 2015,13128.610584,ga
Mar 2015,13335.714938,oh
Mar 2015,16292.239961,tn
Mar 2015,12831.543190,tx
Mar 2015,7129.553991,ma
Mar 2015,7846.915254,md
Mar 2015,15029.199404,pa
Mar 2015,14073.297735,ny
Mar 2015,15342.527193,mi
Mar 2015,10067.837838,sc
Mar 2015,13737.328767,qc
Mar 2015,19159.898477,on
Mar 2015,14725.055500,il
Mar 2015,15582.847337,co
Mar 2015,7125.000000,al
Mar 2015,12971.434783,az
Mar 2015,13565.500000,ca
Mar 2015,15508.400810,wa
Mar 2015,14366.483278,mn
Mar 2015,10703.703704,hi
Mar 2015,13049.304965,nj
Mar 2015,11480.080214,wi
Mar 2015,7378.330654,va
Mar 2015,11504.285714,la
Mar 2015,14903.157895,ut
Mar 2015,9285.135135,in
Mar 2015,10387.027027,pr
Mar 2015,14483.624454,ne
Mar 2015,7580.000000,ms
Mar 2015,13587.643312,nv
Mar 2015,8920.909091,ab
Mar 2015,9220.000000,or
Mar 2015,1550.000000,nm
Apr 2015,8542.133621,pa
Apr 2015,12281.508876,fl
Apr 2015,2997.321429,va
Apr 2015,11766.860465,nj
Apr 2015,6245.652174,ny
Apr 2015,9559.090909,mn
Apr 2015,11046.428571,wi
Apr 2015,10036.690647,tx
Apr 2015,13143.750000,mo
Apr 2015,14118.571429,tn
Apr 2015,3586.111111,la
Apr 2015,5766.666667,az
Apr 2015,12186.818182,wa
Apr 2015,600.000000,nm
Apr 2015,12391.231343,ca
Apr 2015,4550.000000,hi
Apr 2015,12102.777778,oh
Apr 2015,9440.384615,mi
Apr 2015,8635.775862,ga
Apr 2015,15929.076087,il
Apr 2015,7323.913043,nv
Apr 2015,7514.705882,pr
Apr 2015,3820.454545,ms
Apr 2015,5795.454545,ma
Apr 2015,3768.750000,nc
Apr 2015,2880.000000,md
Apr 2015,26186.363636,on
Apr 2015,8357.142857,ne
Apr 2015,3983.333333,ut
Apr 2015,3450.000000,sc
Apr 2015,3350.000000,in
Apr 2015,15992.307692,co
Apr 2015,18375.000000,ab
Apr 2015,6100.000000,or
May 2015,17477.665479,pa
May 2015,13048.207236,fl
May 2015,13203.985093,tx
May 2015,14439.809489,nv
May 2015,15629.091605,ca
May 2015,7229.941176,nc
May 2015,15377.227224,mo
May 2015,11583.941813,oh
May 2015,11840.858525,nj
May 2015,15473.978266,ga
May 2015,8013.388430,md
May 2015,5778.853211,ma
May 2015,11602.343214,sc
May 2015,19735.205184,on
May 2015,15834.518362,il
May 2015,17550.894701,tn
May 2015,15675.821038,co
May 2015,12746.404110,ny
May 2015,12945.940959,wi
May 2015,10252.200424,va
May 2015,14140.141350,ne
May 2015,12951.431655,ut
May 2015,3222.727273,nm
May 2015,12768.095238,la
May 2015,12992.504488,az
May 2015,14946.248175,wa
May 2015,11568.906606,in
May 2015,16533.044359,mi
May 2015,10621.948905,ms
May 2015,14435.918079,mn
May 2015,11271.612903,ab
May 2015,8624.607330,pr
May 2015,10242.666667,qc
May 2015,13148.000000,hi
May 2015,12328.813559,or
May 2015,13163.157895,ns
May 2015,6000.000000,ok
Jun 2015,8923.359413,nc
Jun 2015,15534.026223,fl
Jun 2015,12503.311754,ga
Jun 2015,15740.599298,mo
Jun 2015,15832.759200,oh
Jun 2015,17293.754579,tn
Jun 2015,8284.075342,md
Jun 2015,14556.286788,nj
Jun 2015,14177.033589,tx
Jun 2015,17503.854647,pa
Jun 2015,8065.616097,ma
Jun 2015,16736.860360,il
Jun 2015,11229.150155,sc
Jun 2015,19102.502844,on
Jun 2015,12563.220339,qc
Jun 2015,16135.857549,co
Jun 2015,13097.687225,or
Jun 2015,16836.636038,ca
Jun 2015,15346.942903,mn
Jun 2015,16303.603049,wi
Jun 2015,15511.262384,wa
Jun 2015,13727.436997,ny
Jun 2015,12466.157692,la
Jun 2015,13394.295302,ut
Jun 2015,8878.571429,ns
Jun 2015,10312.218579,va
Jun 2015,14406.073741,ne
Jun 2015,16468.839600,mi
Jun 2015,7119.791667,nm
Jun 2015,13295.872727,az
Jun 2015,13306.788278,in
Jun 2015,13385.462555,hi
Jun 2015,11770.800000,ms
Jun 2015,9514.000000,ok
Jun 2015,17611.564706,nv
Jun 2015,9136.170213,pr
Jun 2015,10662.251656,ab
Jul 2015,17494.565217,mi
Jul 2015,18878.227273,fl
Jul 2015,18975.714286,pa
Jul 2015,12777.631579,nj
Jul 2015,18622.916667,oh
Jul 2015,8878.571429,md
Jul 2015,13508.333333,va
Jul 2015,16221.794872,mo
Jul 2015,20915.625000,wi
Jul 2015,15654.731884,tx
Jul 2015,16673.430380,ga
Jul 2015,20256.349206,tn
Jul 2015,17466.666667,il
Jul 2015,20443.750000,on
Jul 2015,23082.142857,co
Jul 2015,11380.000000,mn
Jul 2015,17213.368984,ca
Jul 2015,15280.000000,ms
Jul 2015,11037.837838,nc
Jul 2015,17850.000000,in
Jul 2015,11333.333333,sc
Jul 2015,21133.333333,nv
Jul 2015,20106.250000,wa
Jul 2015,18716.666667,ne
Jul 2015,13233.333333,az
Jul 2015,15062.500000,ab
Jul 2015,8333.333333,pr
Jul 2015,17433.333333,qc
Jul 2015,15221.052632,ny
Jul 2015,11411.111111,ma
Jul 2015,10083.333333,hi
Jul 2015,18950.000000,or
Jul 2015,16500.000000,ut
Jul 2015,19000.000000,la
,,va
,,az
,,il
,,md
