MAKE,MODEL,ODOMETER,PROFIT_MARGIN
Acura,CL,39857,493075
Acura,CL,55689,472225
Acura,CL,60522,322100
Acura,CL,61635,803750
Acura,CL,63796,461775
Acura,CL,63810,431200
Acura,CL,75013,170850
Acura,CL,84549,221150
Acura,CL,89824,389725
Acura,CL,89855,169875
Acura,CL,93762,440800
Acura,CL,98149,280025
Acura,CL,98958,351350
Acura,CL,103451,359875
Acura,CL,103524,250625
Acura,CL,104543,306100
Acura,CL,108044,270150
Acura,CL,111999,79450
Acura,CL,122301,64650
Acura,CL,123842,481925
Acura,CL,123999,31650
Acura,CL,124235,300925
Acura,CL,124652,180750
Acura,CL,126912,260725
Acura,CL,127762,200425
Acura,CL,127784,169150
Acura,CL,127913,351325
Acura,CL,127997,279300
Acura,CL,128464,129950
Acura,CL,128663,199900
Acura,CL,130210,250275
Acura,CL,130985,240800
Acura,CL,133318,98925
Acura,CL,134094,229950
Acura,CL,136236,320625
Acura,CL,139563,219400
Acura,CL,139832,180950
Acura,CL,142150,269500
Acura,CL,142167,300800
Acura,CL,144039,250525
Acura,CL,146033,129825
Acura,CL,146201,120200
Acura,CL,146870,110125
Acura,CL,146930,49350
Acura,CL,148901,129375
Acura,CL,149038,168575
Acura,CL,149362,89050
Acura,CL,150947,165250
Acura,CL,151658,221025
Acura,CL,153671,98825
Acura,CL,154294,29425
Acura,CL,157288,239425
Acura,CL,158619,190675
Acura,CL,159556,229700
Acura,CL,160020,341850
Acura,CL,162521,320675
Acura,CL,163108,275025
Acura,CL,165335,189200
Acura,CL,167471,79325
Acura,CL,169901,165050
Acura,CL,170300,139625
Acura,CL,173203,209975
Acura,CL,174137,54600
Acura,CL,174970,200000
Acura,CL,175551,140525
Acura,CL,175874,104250
Acura,CL,175942,34600
Acura,CL,177867,59525
Acura,CL,179251,341350
Acura,CL,183965,129450
Acura,CL,186239,119975
Acura,CL,187787,200275
Acura,CL,187818,159625
Acura,CL,187949,159850
Acura,CL,190611,39650
Acura,CL,191286,49450
Acura,CL,194204,129800
Acura,CL,196808,59500
Acura,CL,197853,80125
Acura,CL,200615,28650
Acura,CL,201010,110550
Acura,CL,203612,89575
Acura,CL,211837,29750
Acura,CL,213344,180350
Acura,CL,215412,89625
